Link,links
2014-03-14 04:56:57 +0000
id,title,url,memo,created_at_mill,updated_at_mill,created_at,updated_at
1,北辞郎,http://www.ctrans.org/,"",,,2013-05-05 12:10:39 UTC,2013-05-05 12:10:39 UTC
2,Google 翻訳,http://translate.google.co.jp/?hl=ja&tab=iT,"",,,2013-05-05 12:11:12 UTC,2013-05-05 12:11:12 UTC
3,Wiki: Chinese,http://zh.wikipedia.org/wiki/Wikipedia:%E9%A6%96%E9%A1%B5,"",,,2013-05-05 12:11:55 UTC,2013-05-05 12:11:55 UTC
4,Stern (Deutsch),http://www.stern.de/,"",,,2013-05-05 12:12:42 UTC,2013-05-05 12:12:42 UTC
5,Wiki: English,http://en.wikipedia.org/wiki/Main_Page,"",,,2013-05-05 12:14:15 UTC,2013-05-05 12:14:15 UTC
6,baidu news,http://news.baidu.com/,"",,,2013-05-06 12:13:27 UTC,2013-05-06 12:13:27 UTC
7,Ancient Greek pronunciation,http://socrates.berkeley.edu/~ancgreek/pronunchtml/etaU.html,"",,,2013-05-07 10:18:02 UTC,2013-05-07 10:18:02 UTC
8,Ancient Hebrew pronunciation,http://www.ancient-hebrew.org/7_lesson01.html,"",,,2013-05-07 10:32:32 UTC,2013-05-07 10:32:32 UTC
9,English dictionary,http://dictionary.cambridge.org/dictionary/american-english/,"",,,2013-05-08 15:05:37 UTC,2013-05-08 15:05:37 UTC
10,生物材料科学,http://www.ebiotrade.com/newsf/search.asp?keyword=%C9%FA%CE%EF%CE%A2%BD%BA%C4%D2%BC%BC%CA%F5,"",,,2013-05-19 14:14:38 UTC,2013-05-19 14:14:38 UTC
11,Polish grammar,http://polish.slavic.pitt.edu/firstyear/nutshell.pdf,"",,,2013-06-12 23:43:39 UTC,2013-06-12 23:43:39 UTC
12,Yahoo Taiwan,http://tw.yahoo.com/,"",,,2014-02-01 06:04:46 UTC,2014-02-01 06:04:46 UTC
