Text,texts
2014-03-14 04:56:57 +0000
id,text,title,word_ids,url,genre_id,subgenre_id,lang_id,memo,dbId,created_at_mill,updated_at_mill,created_at,updated_at
2,目前，本市各医院已经送检了三四例监测病例，一共有两例确诊为甲型H1N1流感。但这些都不是H7N9，“大家对于甲流还是一种误区，因为从 2010年开始，甲流就成为了季节性流感的一种，并非2009年时的大流行情况，针对甲流患者现在也不再实施单独的防控措施，而是和普通的季节性流感一样防控。”市疾控中心专家介绍，流感分为季节性流感和大流行流感，每年冬春季节是季节性流感高发期，是正常情况，而像2009年短时间内造成全球大流行的甲流，就是大流行流感，但流行之后，这个毒株就常态存在了，因此从 2010年开始，当时的这个甲流就成为了季节性流感的一种。,目前，本市各医院已经送检了三四例监测病例，一共有两例确诊为甲型,,http://news.hexun.com/2013-04-11/153052958.html,0,0,1,"",0,1367208967189,1367208967189,2013-04-24 00:17:04 UTC,2013-04-29 04:16:07 UTC
3,省疾控中心流行病学监测结果表明，目前我省的流感病例主要为甲型H1N1和H3N2两种，其中H1N1占9成以上。该中心流行病防治科副科长刘富强博士表示，与近期大家特别关注的H7N9禽流感不同的是，H1N1、H3N2都有相应的流感疫苗，可防可治。 为何甲流发病较去年同期增加明显？专家解释，每年冬春之交是流感高峰时期，今年3月份，天气忽冷忽热，加上小雨不断，流感局部集体疫情主要在少数中小学校发生，学生一般喜欢闭门窗，屋内空气不流通，容易发生群体感染。,省疾控中心流行病学监测结果表明，目前我省的流感病例主要为甲型H,,http://news.ifeng.com/gundong/detail_2013_04/11/24094678_0.shtml,0,0,1,"",0,1367212130521,1367212130521,2013-04-24 00:38:46 UTC,2013-04-29 05:08:50 UTC
4,报告显示，3月份全省无甲类传染病报告；乙类传染病报告21260例，死亡59例，发病数居前5位的病种为：肺结核、乙肝、梅毒、丙肝、麻疹，死亡数居前3位的病种为：艾滋病36例、肺结核11例、狂犬病4例；丙类传染病报告7952例，死亡2例（手足口病、其它感染性腹泻病各1例），发病数居前5位的病种为：手足口病、其它感染性腹泻病、流行性腮腺炎、流行性感冒、风疹。,报告显示，3月份全省无甲类传染病报告；乙类传染病报告21260,,http://news.ifeng.com/gundong/detail_2013_04/11/24094678_0.shtml,0,0,1,"",0,1367422646401,1367422646401,2013-04-24 03:52:33 UTC,2013-05-01 15:37:26 UTC
38,"發展性閱讀障礙是特殊學習困難的其中一種。意指兒童在閱讀能力上較同齡的學童為弱。
言語治療師提供專業閱讀能力評估及治療，協助兒童掌握閱讀中文字的規律。同時透過多元化的小組遊戲形式，鞏固字詞之形、音、義的關係以及減低兒童對閱讀文字的心理障礙。患者如果能及早接受治療，可在不同的學科成績上得到更明顯的改善，且減低因閱讀障礙所帶來在學業上的長遠挫敗感。",發展性閱讀障礙是特殊學習困難的其中一種。意指兒童在閱讀能力上較,,http://hkssc.com.hk/service/target/t7,0,0,1,"是特殊學習困難
DONE",0,1368459511974,1368459511974,2013-05-06 23:31:04 UTC,2013-05-13 15:38:31 UTC
37,失读症（dyslexia），又称诵读障碍或阅读障碍，是一种疾病，也是一種常见的學習障礙。有失读症的人，智力同一般人并无差别，但阅读能力和写作能力却与常人有较大差距。当一个人的阅读困难无法通过智力缺陷、不当教育或视觉障碍等感知问题所解释的时候，通常就会被诊断为失读症。由于阅读是一个非常复杂的思维过程，失读症的形成有很多可能的原因。神经生理学的观点认为，可以通过尸体解剖中的大脑形态学观察判断失读症。失读症通常与发音困难相关。這種閱讀困難可能是來自先天（基因缺陷）或后天的脑损伤以及相应的听觉和视觉障碍，即获得性失读症；但也有部分在发育过程中没有明显的脑损伤的儿童具有阅读障碍，即发展性失读症。統計數據。5-15% 的人被診斷有程度不一的失讀症。但依據語言的不同及定義的不同，這個數據會有一定程度的差異。失讀症類型。[编辑]表音文字(如英文)的失讀症。1. 表層失讀症：病患可以按照語音學的發音來讀詞，但是卻不能閱讀不規則拼寫的詞。2. 拼音性失讀症: 病患可以閱讀曾經認識的詞，但是卻不能閱讀不熟悉的詞，或者無法通過語言學發音的詞。3. 直接性失讀症：病患因為腦部損傷導致無法理解詞語，但是卻可以通過大聲讀出來。象形文字(如中文)的失讀症。1. 構字困難：能辨認和書寫一個字的各組成部份，卻很難組合它們，以至於構字上會左右上下顛到，識字時也更吃力。2. 視知覺干擾：難以只看一個方塊，容易把週邊的字樣一起知覺，導至混亂，也容易弄不清楚自己看到哪一行，而產生跳行閱讀與重覆閱讀。當字體太小、行距太小時，識字也會更吃力。如何協助失讀症患者。採用輔具，例如圖片、字卡、有聲書，或者較高科技的非視覺桌面存取系統，協助他們閱讀以及使用電腦。採用閱讀策略將字與圖像、實物建立連結，以及將造字的邏輯和脈絡引入，提升字的意思，有助於閱讀。採用較大字的字級，和較高的行距，降低視覺干擾。使用尺壓住後排文字，或是用筆將讀完的行首畫點標記，來避免跳行。,失读症（dyslexia），又称诵读障碍或阅读障碍，是一种疾病,,http://zh.wikipedia.org/wiki/%E5%A4%B1%E8%AE%80%E7%97%87,0,0,1,"Next => 3. 直接性失讀症
Next => 如何協助失讀症患者
DONE",0,1368599188236,1368599188237,2013-05-06 23:30:31 UTC,2013-05-15 06:26:28 UTC
11,"Frauen haben in Deutschland deutlich häufiger Teilzeitjobs als im EU-Durchschnitt. 45 Prozent und damit fast jede zweite erwerbstätige Frau in der Bundesrepublik arbeitete 2011 in Teilzeit, im EU-Durchschnitt war es aber nur 32 Prozent, also knapp jede dritte.",Frauen haben in Deutschland deu,,http://www.stern.de/wirtschaft/familie/deutscher-jobmarkt-frauenarbeit-ist-teilzeitarbeit-1980760.html,0,0,2,"",0,1367422748268,1367422748268,2013-04-27 06:27:46 UTC,2013-05-01 15:39:08 UTC
12,"Noch mehr Teilzeitjobs haben nur die Frauen in den Niederlanden. Dort arbeitet nicht einmal jede Vierte, nämlich 24 Prozent, ganztags. Diese Zahlen zum deutschen und europäischen Arbeitsmarkt legte am Donnerstag das Statistische Bundesamt in Wiesbaden vor - einen Tag vor dem Internationalen Frauentag.",Noch mehr Teilzeitjobs haben nu,,http://www.stern.de/wirtschaft/familie/deutscher-jobmarkt-frauenarbeit-ist-teilzeitarbeit-1980760.html,0,0,2,"",0,1367422757947,1367422757947,2013-04-27 07:08:47 UTC,2013-05-01 15:39:17 UTC
13,"Als Hauptgrund für ihre Teilzeittätigkeit nannte in Deutschland mehr als jede zweite Frau die Betreuung von Kindern, die Pflege von Angehörigen oder andere familiäre und persönliche Gründe. Auch damit liegen die Frauen in Deutschland über dem EU-Durchschnitt.",Als Hauptgrund für ihre Teilzei,,http://www.stern.de/wirtschaft/familie/deutscher-jobmarkt-frauenarbeit-ist-teilzeitarbeit-1980760.html,0,0,2,"",0,1367422765779,1367422765779,2013-04-27 07:12:43 UTC,2013-05-01 15:39:25 UTC
14,本華·曼德博（又译伯努瓦·曼德勃罗）（法语：Benoît B. Mandelbrot，1924年11月20日－2010年10月14日[1]）是一名数学家。生於波蘭華沙，幼年随全家移居巴黎。曼德博大半生均在美国度过，擁有法國和美國的雙重國籍。曼德博的研究范围广泛，从数学物理到金融数学，但他最大的成就则是创立了分形几何。他创造了“分形”这个名词，并且描述了曼德博集合。他也致力于向大众介绍自己的理论，通过面向普通公众的著作和演讲，使他的研究成果广为人知。本華·曼德博是他所用的中文名，在他的個人網頁首頁可以見到。,本華·曼德博（又译伯努瓦·曼德勃罗）（法语：Benoît B.,,http://zh.wikipedia.org/wiki/%E6%9C%AC%E8%8F%AF%C2%B7%E6%9B%BC%E5%BE%B7%E5%8D%9A,0,0,1,"",0,1367422773479,1367422773479,2013-04-28 00:09:19 UTC,2013-05-01 15:39:33 UTC
270,"時下流行的日本笑話
 
古時日本多戰事，男丁稀少，人口急劇下降，為提高出生率，天皇
下令，男人可以在任何時間，任何地方和任何女子做愛，於是，女
人為了《做事方便》，出門便圍條床單，背個枕頭，久而久之便成
了和服。

生的孩子也不知誰是爹，就以做愛的地點為姓，於是便有了松下，
井上，渡邊，山口，田中，小泉等姓氏。

如果生之前只和 一個男人搞過，就加上一個《純》字，如  -  小泉
純一郎！

如果二個以上就加上《陪》字，例如  -  安陪晉三。

日本兵很好色，叫黃軍，戰敗後不能再好色，所以叫自衛隊 (自慰
隊) 。


真是佩服李白，在唐朝就知道 駡日本人了

日暮蒼山蘭舟安， 
本無落霞綴清陪。 
去年葉落緣份定， 
死水微漾人却亡。","時下流行的日本笑話
 
古時日本多戰事，男丁稀少，人口急劇",,http://blog.sina.com.cn/s/blog_4dbe77bc0101gogw.html,0,0,1,"",0,1394243725977,1394243725977,2014-03-08 01:55:25 UTC,2014-03-08 01:55:25 UTC
