Word,words
2014-03-14 04:56:56 +0000
id,w1,w2,w3,text_ids,text_id,lang_id,dbId,created_at_mill,updated_at_mill,created_at,updated_at
3831,遗体,yi2-,"",,268,1,0,1394102775684,1394102775684,2014-03-06 10:46:15 UTC,2014-03-06 10:46:15 UTC
3832,掩埋,yan3mai2,"",,268,1,0,1394102845348,1394102845348,2014-03-06 10:47:25 UTC,2014-03-06 10:47:25 UTC
3833,红卍字,-wan4-,"",,268,1,0,1394102906237,1394102906237,2014-03-06 10:48:26 UTC,2014-03-06 10:48:26 UTC
3834,崇善堂,Chong2--,"",,268,1,0,1394102932151,1394102932151,2014-03-06 10:48:52 UTC,2014-03-06 10:48:52 UTC
3835,慈善,ci2-,"",,268,1,0,1394102973425,1394102973425,2014-03-06 10:49:33 UTC,2014-03-06 10:49:33 UTC
8,猶太教,"",you2tai4jiao4,,5,0,0,1366789969984,1366789969984,2013-04-24 07:52:49 UTC,2013-04-24 07:52:49 UTC
3836,灭迹,-ji1,"",,268,1,0,1394103108554,1394103108554,2014-03-06 10:51:48 UTC,2014-03-06 10:51:48 UTC
3837,八卦洲,-gua4zhou1,"",,268,1,0,1394103269330,1394103269330,2014-03-06 10:54:29 UTC,2014-03-06 10:54:29 UTC
3838,打捞,-lao1,salvage,,268,1,0,1394103318893,1394103318893,2014-03-06 10:55:18 UTC,2014-03-06 10:55:18 UTC
3839,函件,han2-,書信,,268,1,0,1394103375979,1394103375979,2014-03-06 10:56:15 UTC,2014-03-06 10:56:15 UTC
3840,谷寿夫,-shou4-,"",,268,1,0,1394103530645,1394103530646,2014-03-06 10:58:50 UTC,2014-03-06 10:58:50 UTC
66,纳粹,"",na4cui4,,15,0,0,1367110631365,1367110631365,2013-04-28 00:57:11 UTC,2013-04-28 00:57:11 UTC
67,威胁,"",wei1xie2,,15,0,0,1367110653221,1367110653221,2013-04-28 00:57:33 UTC,2013-04-28 00:57:33 UTC
68,加剧,"",jia1ju4,,15,0,0,1367110673996,1367110673996,2013-04-28 00:57:53 UTC,2013-04-28 00:57:53 UTC
69,移居,"",yi2ju1,,15,0,0,1367110697575,1367110697575,2013-04-28 00:58:17 UTC,2013-04-28 00:58:17 UTC
70,逃,"",tao2,,15,0,0,1367110740174,1367110740174,2013-04-28 00:59:00 UTC,2013-04-28 00:59:00 UTC
71,蒂勒,"",di4lei1,,15,0,0,1367110767646,1367110767646,2013-04-28 00:59:27 UTC,2013-04-28 00:59:27 UTC
72,布里夫拉盖亚尔德,"",bu4li3fu0la1gai4ya3ei3de2,,15,0,0,1367110876385,1367110876385,2013-04-28 01:01:16 UTC,2013-04-28 01:01:16 UTC
73,拉比,"",la1bi3,,15,0,0,1367110970193,1367110970194,2013-04-28 01:02:50 UTC,2013-04-28 01:02:50 UTC
74,帕克,Parc,pa4ke4,,15,0,0,1367111105686,1367111105686,2013-04-28 01:05:05 UTC,2013-04-28 01:05:05 UTC
6,希伯来,"",xi1bo1lai2,,5,1,0,1367421605273,1367421605273,2013-04-24 07:50:27 UTC,2013-05-01 15:20:05 UTC
7,與拉比,"",yu3la1bi1,,5,1,0,1367421609496,1367421609496,2013-04-24 07:52:08 UTC,2013-05-01 15:20:09 UTC
9,隱密,"",yin3mi4,,5,1,0,1367421613839,1367421613839,2013-04-24 07:53:36 UTC,2013-05-01 15:20:13 UTC
10,宇宙,"",yu3zhou4,,5,1,0,1367421618670,1367421618670,2013-04-24 07:54:17 UTC,2013-05-01 15:20:18 UTC
11,宗派,"",zong1pai4,,5,1,0,1367421623002,1367421623002,2013-04-24 07:54:48 UTC,2013-05-01 15:20:23 UTC
13,界定,境界を決める,jie4ding4,,5,1,0,1367421992986,1367421992986,2013-04-24 07:56:27 UTC,2013-05-01 15:26:32 UTC
15,深奧,profound,shen1ao4,,5,1,0,1367422003563,1367422003564,2013-04-24 07:58:13 UTC,2013-05-01 15:26:43 UTC
16,塔納赫,Tanakh,ta3na4he4,,5,1,0,1367422034781,1367422034781,2013-04-24 07:59:08 UTC,2013-05-01 15:27:14 UTC
17,儀式,"",yi2shi4,,5,1,0,1367422038981,1367422038981,2013-04-24 08:00:07 UTC,2013-05-01 15:27:18 UTC
18,涵義,han2yi4,meanings,,5,1,0,1367422042914,1367422042914,2013-04-24 08:00:42 UTC,2013-05-01 15:27:22 UTC
19,假期,"",jia4qi1,,10,1,0,1367422047097,1367422047097,2013-04-26 14:04:02 UTC,2013-05-01 15:27:27 UTC
20,巴基斯坦,"",ba1ji1si1tan3,,10,1,0,1367422054283,1367422054283,2013-04-26 14:04:38 UTC,2013-05-01 15:27:34 UTC
21,交界处,境界付近,jiao1jie4chu4,,10,1,0,1367422057675,1367422057676,2013-04-26 14:05:33 UTC,2013-05-01 15:27:37 UTC
24,众多,"",zhong4duo1,,10,1,0,1367422077666,1367422077666,2013-04-26 14:08:21 UTC,2013-05-01 15:27:57 UTC
25,deutlich,clearly,"",,11,2,0,1367422115844,1367422115844,2013-04-27 07:04:23 UTC,2013-05-01 15:28:35 UTC
26,häufig,often,"",,11,2,0,1367422121959,1367422121959,2013-04-27 07:05:24 UTC,2013-05-01 15:28:41 UTC
27,Teilzeitjob,part time job,"",,11,2,0,1367422128802,1367422128802,2013-04-27 07:05:51 UTC,2013-05-01 15:28:48 UTC
28,Durchschnitt,average,"",,11,2,0,1367422134556,1367422134556,2013-04-27 07:06:11 UTC,2013-05-01 15:28:54 UTC
29,erwerbstätig,employed,"",,11,2,0,1367422140651,1367422140651,2013-04-27 07:06:37 UTC,2013-05-01 15:29:00 UTC
30,knapp,just,"",,11,2,0,1367422146411,1367422146411,2013-04-27 07:07:00 UTC,2013-05-01 15:29:06 UTC
31,jede,each,"",,11,2,0,1367422153545,1367422153546,2013-04-27 07:07:19 UTC,2013-05-01 15:29:13 UTC
32,Zahl,number,"",,12,2,0,1367422166112,1367422166112,2013-04-27 07:09:56 UTC,2013-05-01 15:29:26 UTC
33,legte,submit,vor-,,12,2,0,1391483776704,1391483776705,2013-04-27 07:11:29 UTC,2014-02-04 03:16:16 UTC
34,Bundesamt,Federal office,"",,12,2,0,1367422183814,1367422183814,2013-04-27 07:12:15 UTC,2013-05-01 15:29:43 UTC
37,Betreuung,looking-after,"",,13,2,0,1367422213104,1367422213105,2013-04-27 07:15:00 UTC,2013-05-01 15:30:13 UTC
38,Hauptgrund,main reason,"",,13,2,0,1367422216212,1367422216212,2013-04-27 07:15:20 UTC,2013-05-01 15:30:16 UTC
39,Pflege,nursing care,"",,13,2,0,1367422269681,1367422269681,2013-04-27 07:15:39 UTC,2013-05-01 15:31:09 UTC
40,Angehörigen,members,:pl,,13,2,0,1367422275186,1367422275186,2013-04-27 07:16:14 UTC,2013-05-01 15:31:15 UTC
41,liegen,are,:v :pl,,13,2,0,1367422281137,1367422281137,2013-04-27 07:16:58 UTC,2013-05-01 15:31:21 UTC
42,禽流感,"",qin1liu2gan3,,3,1,0,1367422361821,1367422361821,2013-04-27 07:31:05 UTC,2013-05-01 15:32:41 UTC
43,疫情,"",yi4qing2,,3,1,0,1367422364894,1367422364894,2013-04-27 07:32:28 UTC,2013-05-01 15:32:44 UTC
44,窗,"",chuang1,,3,1,0,1367422368333,1367422368333,2013-04-27 07:33:30 UTC,2013-05-01 15:32:48 UTC
45,曼德博,"",man4de2bo2,,14,1,0,1367422371646,1367422371646,2013-04-28 00:10:43 UTC,2013-05-01 15:32:51 UTC
46,伯努瓦,"",bo2nu3wa3,,14,1,0,1367422375150,1367422375150,2013-04-28 00:11:27 UTC,2013-05-01 15:32:55 UTC
47,曼德勃罗,"",man4de2bo2luo1,,14,1,0,1367422378936,1367422378936,2013-04-28 00:12:08 UTC,2013-05-01 15:32:58 UTC
48,波蘭,"",bo1lan2,,14,1,0,1367422382497,1367422382497,2013-04-28 00:12:46 UTC,2013-05-01 15:33:02 UTC
49,華沙,"",hua2sha1,,14,1,0,1367422386831,1367422386831,2013-04-28 00:13:11 UTC,2013-05-01 15:33:06 UTC
